time,close,movement,predicted
2024-01-02,1.09388,down,down
2024-01-03,1.09187,up,down
2024-01-04,1.09419,down,down
2024-01-05,1.09385,up,down
2024-01-08,1.09475,down,down
2024-01-09,1.09284,up,down
2024-01-10,1.09698,down,down
2024-01-11,1.09695,down,down
2024-01-12,1.09463,down,down
2024-01-15,1.09458,down,down
2024-01-16,1.08724,up,down
2024-01-17,1.088,down,up
2024-01-18,1.08732,up,down
2024-01-19,1.08947,down,down
2024-01-22,1.08796,down,down
2024-01-23,1.08517,up,down
2024-01-24,1.08818,down,up
2024-01-25,1.08433,up,down
2024-01-26,1.08484,down,up
2024-01-29,1.083,up,up
2024-01-30,1.08429,down,down
2024-01-31,1.08154,up,up
2024-02-01,1.08688,down,up
2024-02-02,1.07834,down,down
2024-02-05,1.07399,up,up
2024-02-06,1.07519,up,up
2024-02-07,1.07691,up,up
2024-02-08,1.07748,up,up
2024-02-09,1.07821,down,down
2024-02-12,1.07691,down,up
2024-02-13,1.07062,up,up
2024-02-14,1.07238,up,up
2024-02-15,1.07695,up,up
2024-02-16,1.07738,up,up
2024-02-19,1.07763,up,down
2024-02-20,1.08049,up,up
2024-02-21,1.0816,up,up
2024-02-22,1.082,down,down
2024-02-23,1.08169,up,up
2024-02-26,1.08482,down,down
2024-02-27,1.08414,down,up
2024-02-28,1.08353,down,up
2024-02-29,1.08025,up,up
2024-03-01,1.08365,up,up
2024-03-04,1.0853,up,up
2024-03-05,1.08538,up,up
2024-03-06,1.08959,up,up
2024-03-07,1.09453,down,down
2024-03-08,1.09349,down,down
2024-03-11,1.09248,up,down
2024-03-12,1.09257,up,down
2024-03-13,1.09468,down,down
2024-03-14,1.08822,up,down
2024-03-15,1.08878,down,down
2024-03-18,1.08695,down,down
2024-03-19,1.08627,up,up
2024-03-20,1.09191,down,down
2024-03-21,1.08571,down,down
2024-03-22,1.08051,up,up
2024-03-25,1.08346,down,up
2024-03-26,1.08284,down,down
2024-03-27,1.0825,down,up
2024-03-28,1.07857,up,up
2024-03-29,1.07898,down,up
2024-04-01,1.07404,up,up
2024-04-02,1.07665,up,up
2024-04-03,1.08332,up,up
2024-04-04,1.08341,down,down
2024-04-05,1.08336,up,up
2024-04-08,1.08565,down,up
2024-04-09,1.08543,down,up
2024-04-10,1.07396,down,up
2024-04-11,1.0723,down,up
2024-04-12,1.06375,down,up
2024-04-15,1.06216,down,up
2024-04-16,1.06159,up,up
2024-04-17,1.067,down,up
2024-04-18,1.06405,up,up
2024-04-19,1.06519,up,up
2024-04-22,1.0653,up,up
2024-04-23,1.06999,down,up
2024-04-24,1.06973,up,up
2024-04-25,1.07283,down,up
2024-04-26,1.06918,up,up
2024-04-29,1.07191,down,up
2024-04-30,1.06646,up,up
2024-05-01,1.0708,up,up
2024-05-02,1.07237,up,up
2024-05-03,1.07596,up,up
2024-05-06,1.07673,down,up
2024-05-07,1.07531,down,up
2024-05-08,1.07467,up,up
2024-05-09,1.07807,down,up
2024-05-10,1.07681,up,down
2024-05-13,1.07883,up,down
2024-05-14,1.08175,up,up
2024-05-15,1.08828,down,down
2024-05-16,1.08654,up,down
2024-05-17,1.08663,down,up
2024-05-20,1.08553,down,up
2024-05-21,1.08523,down,up
2024-05-22,1.08213,down,up
2024-05-23,1.08136,up,up
2024-05-24,1.08455,up,down
2024-05-27,1.08572,down,up
2024-05-28,1.08553,down,up
2024-05-29,1.07994,up,up
2024-05-30,1.08303,up,up
2024-05-31,1.08449,up,down
2024-06-03,1.0903,down,up
2024-06-04,1.08777,down,down
2024-06-05,1.0867,up,down
2024-06-06,1.08866,down,down
2024-06-07,1.08001,down,down
2024-06-10,1.07637,down,up
2024-06-11,1.07389,up,up
2024-06-12,1.08073,down,up
2024-06-13,1.07355,down,up
2024-06-14,1.07013,up,up
2024-06-17,1.07328,up,up
2024-06-18,1.07384,up,up
2024-06-19,1.07409,down,up
2024-06-20,1.07004,down,up
2024-06-21,1.06911,up,up
2024-06-24,1.07306,down,up
2024-06-25,1.07127,down,up
2024-06-26,1.06791,up,up
2024-06-27,1.07024,up,up
2024-06-28,1.07104,up,up
2024-07-01,1.07389,up,up
