time,movement,predicted
2024-01-02,down,down
2024-01-03,down,down
2024-01-04,up,up
2024-01-05,up,up
2024-01-08,up,up
2024-01-09,down,down
2024-01-10,up,up
2024-01-11,up,up
2024-01-12,down,down
2024-01-16,down,down
2024-01-17,down,down
2024-01-18,up,up
2024-01-19,up,up
2024-01-23,down,down
2024-01-24,down,down
2024-01-25,up,up
2024-01-26,up,up
2024-01-29,down,down
2024-01-30,down,down
2024-01-31,up,up
2024-02-01,down,down
2024-02-02,down,down
2024-02-05,down,down
2024-02-06,up,up
2024-02-07,up,up
2024-02-08,up,up
2024-02-09,down,down
2024-02-12,down,down
2024-02-13,up,up
2024-02-14,up,up
2024-02-15,down,down
2024-02-16,down,down
2024-02-20,up,up
2024-02-21,up,up
2024-02-22,up,up
2024-02-23,down,down
2024-02-26,up,up
2024-02-27,up,up
2024-02-28,up,up
2024-02-29,up,up
2024-03-01,down,down
2024-03-04,down,down
2024-03-05,up,up
2024-03-06,up,up
2024-03-07,up,up
2024-03-08,up,up
2024-03-11,up,up
2024-03-12,down,down
2024-03-13,down,down
2024-03-14,down,down
2024-03-15,up,up
2024-03-18,up,up
2024-03-19,up,up
2024-03-20,down,down
2024-03-21,down,down
2024-03-22,up,up
2024-03-25,down,down
2024-03-26,up,up
2024-03-27,down,down
2024-03-28,down,down
2024-04-01,down,down
2024-04-02,down,down
2024-04-03,up,up
2024-04-04,down,down
2024-04-05,up,up
2024-04-08,up,up
2024-04-09,down,down
2024-04-10,up,up
2024-04-11,down,down
2024-04-12,down,down
2024-04-15,down,down
2024-04-16,down,down
2024-04-17,up,up
2024-04-18,down,down
2024-04-19,up,up
2024-04-22,up,up
2024-04-23,up,up
2024-04-24,down,down
2024-04-25,up,up
2024-04-26,up,up
2024-04-29,down,down
2024-04-30,up,up
2024-05-01,up,up
2024-05-02,down,down
2024-05-03,up,up
2024-05-06,up,up
2024-05-07,down,down
2024-05-08,down,down
2024-05-09,up,up
2024-05-10,up,up
2024-05-13,up,up
2024-05-14,up,up
2024-05-15,down,down
2024-05-16,up,up
2024-05-17,up,up
2024-05-20,down,down
2024-05-21,up,up
2024-05-22,down,down
2024-05-23,up,up
2024-05-24,down,down
2024-05-28,down,down
2024-05-29,down,down
2024-05-30,up,down
2024-05-31,up,up
2024-06-03,down,down
2024-06-04,up,up
2024-06-05,up,up
2024-06-06,down,down
2024-06-07,up,up
2024-06-10,down,down
2024-06-11,down,down
2024-06-12,down,up
2024-06-13,down,up
2024-06-14,down,up
2024-06-17,down,down
2024-06-18,up,up
2024-06-20,up,up
2024-06-21,down,up
2024-06-24,down,down
2024-06-25,down,up
2024-06-26,up,up
2024-06-27,up,up
2024-06-28,up,up
2024-07-01,down,up
2024-07-02,up,up
2024-07-03,down,up
2024-07-05,down,up
2024-07-08,down,up
2024-07-09,down,up
2024-07-10,up,up
2024-07-11,up,up
2024-07-12,up,up
2024-07-15,up,down
2024-07-16,down,up
2024-07-17,up,up
